Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,21,1158,671,395,45,222,8,265,841,35,53
C:\prog\PokeSampler\Source,21,1158,671,395,45,222,8,265,841,35,53
